Mag the Mighty|Giant fighting in Mance Rayders army|Killed by Grenn and five other members of the Nights Watch in the Battle of Castle Black|4|9|||0%
Pyp|Brother of the Nights Watch|Shot through the neck with an arrow by Ygritte during the Battle of Castle Black|4|9|||0%
Styr|Thenn fighting in Mance Rayders army|Bludgeoned in the head with a hammer by Jon Snow during the Battle of Castle Black|4|9|||0%
Ygritte|Soldier in Mance Rayders army and Jon Snows lover|Shot with an arrow by Olly in the Battle of Castle Black|4|9|||0%
Jojen Reed|Warg, brother of Meera Reed, traveling companion of Bran Stark|Mercy killed by Meera after being stabbed multiple times by a wight; burned by a fireball thrown by ���the Children�۝|4|10||Could Jojen have warged into someone or something before he died?|30%
Shae|Prostitute and girlfriend of Tyrion Lannister|Strangled to death by Tyrion Lannister|4|10|||0%
Tywin Lannister|Head of House Lannister, Lord of Casterly Rock, father of Cersei, Jaime and Tyrion Lannister|Shot on the toilet by Tyrion with a crossbow|4|10|||0%
Mance Rayder|Leader of the Free Folk|Shot with a mercy arrow by Jon Snow before hes burned alive|5|1|||0%
Janos Slynt|Former commander of the City Watch in Kings Landing, exiled to Nights Watch by Tyrion Lannister|Beheaded for insubordination by Jon Snow|5|3|||0%
Barristan Selmy|Former member of the Kingsguard, advisor of Daenerys Targaryen|Killed fighting the Sons of the Harpy in Meereen|5|4|||0%
Maester Aemon|Maester at Castle Black|Dies of old age|5|7|||0%
Karsi|Chieftainess of the Ice-river clans|Mauled to death by Wights|5|8||We see her become a wight|100%
Shireen Baratheon|Daughter of Stannis and Selyse Baratheon|Burned alive as a sacrifice to the Lord of Light by Melisandre at the order of Stannis Baratheon|5|9|||0%
Hizdahr zo Loraq|Scion of the House Loraq, former slave trader, husband of Daenerys Targaryen|Stabbed to death by the Sons of the Harpy|5|9|||0%
Selyse Baratheon|Wife of Stannis Baratheon|Hangs herself following the death of her daughter|5|10|||0%
Stannis Baratheon|Lord of Dragonstone, brother of Robert and Renly Baratheon, claimant to the Iron Throne|Executed by Brienne of Tarth|5|10||We dont actually see Brienne kill Stannis|50%
Myranda|Servant of House Bolton and Ramsay Snows lover|Pushed off a ledge by Theon Grejoy|5|10|||0%
Meryn Trant|Knight in the Kingsguard|Blinded and stabbed before having his throat slit by Arya Stark|5|10|||0%
Myrcella Baratheon|Daughter of Cersei Lannister and Jaime Lannister, sister to King Tommen Baratheon|Poisoned with a kiss by Ellaria Sand with the help of the Sand Snakes|5|10|||0%
Jon Snow|Commander of the Nights Watch, bastard son of Eddard Stark (or maybe not)|Stabbed by Nights Watch mutineers, including Alliser Thorne and Olly|5|10||Resurrected by Melisandre|100%
Areo Hotah|Captain of the Guard for the Martells|Stabbed in the back by Tyene, one of the Sand Snakes|6|1|||0%
Doran Martell|Prince of Dorne|Stabbed in the chest by Ellaria Sand|6|1|||0%
Trystane Martell|Prince of Dorne, betrothed to Myrcella|Impaled through the back of the head by Obara, one of the Sand Snakes|6|1|||0%
The Flasher|Man who flashes Cersei Lannister during her walk of atonement|Head smashed against a wall by Gregor Clegane, a.k.a The Mountain|6|2|||0%
Roose Bolton|Lord of the Dreadfort, Warden of the North|Stabbed in the chest by his own son, Ramsay Bolton|6|2|||0%
Walda Bolton|Wife to Roose Bolton, granddaughter of Walder Frey|Mauled to death by Ramsay Boltons dogs|6|2|||0%
Unnamed Bolton Child|Child of Roose and Walda Bolton|Mauled to death by Ramsay Boltons dogs|6|2|||0%
Balon Greyjoy|Lord of the Iron Islands|Thrown from a bridge by his brother, Euron Greyjoy|6|2|||0%
Alliser Thorne|Acting Lord Commander of the Nights Watch|Hanged for treason by Jon Snow|6|3|||0%
Olly|Steward of the Nights Watch|Hanged for treason by Jon Snow|6|3|||0%
Ser Arthur Dayne|Member of the Kingsguard of King Aerys II Targaryen|Stabbed in the back by Howland Reed and partially decapitated by Ned Stark|6|3|TRUE||0%
Osha|Wildling loyal to Rickon Stark|Stabbed in the neck by Ramsay Bolton|6|4|||0%
Khal Moro|Khal who presides over khalar vezhven|Burned alive along with the other khals by Daenerys Targaryen|6|4|||0%
Three-Eyed Raven|Sorcerer and Brans mentor|Killed by the Night King|6|5||Yes, his body is gone, but with time travel in play Bran could be seeing him again|25%
Leaf|Child of the Forest|Committed suicide with explosive device when attacked by Wights to save Bran|6|5|||0%
Hodor|Servant to the House Stark|Torn apart by Wights|6|5|||0%
Aerys II Targaryen, ���The Mad King�۝|Lord of the Seven Kingdoms|Stabbed in the back by Jaime Lannister|6|6|TRUE||0%
Brother Ray|Faith of the Seven Septon|Hanged by rogue members of the Brotherhood Without Banners|6|7|||0%
Lem|Member of Brotherhood Without Banners|Hanged by the Hound|6|8|||0%
Brynden Tully (The Blackfish)|Lord of Riverrun|Killed defending Riverrun|6|8||We dont actually see the Blackfish killed|50%
Lady Crane|Actress in Braavos|Throat slit by the Waif|6|8|||0%
The Waif|Acolyte of the Faceless Men|Killed by Arya Stark|6|8|||0%
Razdal mo Eraz|Wise Master|Throat cut by Grey Worm|6|9|||0%
Belicho Paenymion|Volantis Nobleman|Throat cut by Grey Worm|6|9|||0%
Rickon Stark|Lord of House Stark|Shot with an arrow in the back by Ramsay Bolton|6|9|||0%
Jon Umber|Lord of House Umber|Throat torn out and head stabbed by Tormund|6|9|||0%
Wun Weg Wun Dar Wun|Giant in Wildling army|Shot through the eye by Ramsay Bolton|6|9|||0%
Ramsay Bolton|Warden of the North|Eaten alive by his hounds on the order of Sansa Stark|6|9|||0%
Grand Maester Pycelle|Grand Maester in Kings Landing|Stabbed by one of Quburns little birds|6|10|||0%
Lancel|A brother with the Sparrows|Stabbed by one of Qyburns little birds, blown up by wildfire|6|10|||0%
The High Sparrow|High Septon|Burned alive in a wildfire explosion orchestrated by Cersei|6|10|||0%
Loras Tyrell|Former Lord Commander|Burned alive in a wildfire explosion orchestrated by Cersei|6|10|||0%
Mace Tyrell|Lord of Highgarden, Warden of the South|Burned alive in a wildfire explosion orchestrated by Cersei|6|10|||0%
Kevan Lannister|Hand of the King|Burned alive in a wildfire explosion orchestrated by Cersei|6|10|||0%
Margaery Tyrell|Queen of the Seven Kingdoms|Burned alive in a wildfire explosion orchestrated by Cersei|6|10|||0%
Tommen Baratheon|Lord of the Seven Kingdoms|Committed suicide by jumping from a window following Maergerys death by wildfire as orchestrated by Cersei|6|10|||0%
Walder Rivers|Bastard son of Walder Frey|Killed and baked in a pie by Arya Stark|6|10|||0%
Lothar Frey|Son of Walder Frey|Killed and baked into a pie by Arya Stark|6|10|||0%
Walder Frey|Lord of the Crossing, Lord of Riverrun|Throat slit by Arya Stark|6|10|||0%
Lyanna Stark|Sister of Eddard Stark, Mother of Jon Snow|Died after giving birth to Jon Snow during Roberts Rebellion|6|10|||0%
